	0	testset_label	Label
A_Apc20_2	0.824860277	20w	1
A_Apc20_3	0.523193651	20w	1
A_Apc20_4	0.692125664	20w	1
A_Ctrl20_1	0.012208901	20w	0
A_Ctrl20_2	0.244836831	20w	0
A_Ctrl20_4	0.21076085	20w	0
A_antiIL18_3	0.241387444	20w+antiIL18	1
A_antiIL18_4	0.170129254	20w+antiIL18	1
A_antiIL18_8	0.288356898	20w+antiIL18	1
W_antiIL18_1	0.156964108	20w+antiIL18	0
W_antiIL18_2	0.145043654	20w+antiIL18	0
W_antiIL18_4	0.08724356	20w+antiIL18	0
A_IgG_6	0.907886271	20w+IgG	1
A_IgG_7	0.961232172	20w+IgG	1
A_IgG_8	0.8047499	20w+IgG	1
W_IgG_1	0.165765758	20w+IgG	0
W_IgG_11	0.061232583	20w+IgG	0
W_IgG_2	0.101160961	20w+IgG	0
A_PBS_12	0.701819929	20w+PBS	1
A_PBS_5	0.500795663	20w+PBS	1
A_PBS_7	0.765069948	20w+PBS	1
W_PBS_1	0.210060024	20w+PBS	0
W_PBS_3	0.22005215	20w+PBS	0
W_PBS_9	0.022504855	20w+PBS	0
A_Apc1	0.793124004	cross-validation	1
A_Apc10	0.867558601	cross-validation	1
A_Apc11	0.96841775	cross-validation	1
A_Apc12	0.988310273	cross-validation	1
A_Apc13	0.535026214	cross-validation	1
A_Apc2	0.888912991	cross-validation	1
A_Apc3	0.410723749	cross-validation	1
A_Apc4	0.982803708	cross-validation	1
A_Apc5	0.986526017	cross-validation	1
A_Apc6	0.987757671	cross-validation	1
A_Apc7	0.990666518	cross-validation	1
A_Apc8	0.9972504	cross-validation	1
A_Apc9	0.932737949	cross-validation	1
A_Ctrl1	0.082904511	cross-validation	0
A_Ctrl10	0.232865257	cross-validation	0
A_Ctrl11	0.020801646	cross-validation	0
A_Ctrl12	0.254086648	cross-validation	0
A_Ctrl13	0.161899843	cross-validation	0
A_Ctrl14	0.049963623	cross-validation	0
A_Ctrl15	0.089299805	cross-validation	0
A_Ctrl16	0.018360788	cross-validation	0
A_Ctrl17	0.120475802	cross-validation	0
A_Ctrl18	0.098768739	cross-validation	0
A_Ctrl2	0.059741079	cross-validation	0
A_Ctrl3	0.197166368	cross-validation	0
A_Ctrl4	0.132662108	cross-validation	0
A_Ctrl5	0.200801794	cross-validation	0
A_Ctrl6	0.128402357	cross-validation	0
A_Ctrl7	0.051752585	cross-validation	0
A_Ctrl8	0.024410639	cross-validation	0
A_Ctrl9	0.06799833	cross-validation	0
A_flApc_1	0.210407069	FetalLiver	1
A_flApc_2	0.223061362	FetalLiver	1
A_flApc_3	0.210506796	FetalLiver	1
A_flCtrl_3	0.20731788	FetalLiver	0
A_flCtrl1	0.28731242	FetalLiver	0
A_flApcIl18_2	0.22334075	FetalLiver+IL18	1
A_flApcIl18_3	0.281427884	FetalLiver+IL18	1
A_flApcIl18_4	0.194388041	FetalLiver+IL18	1
A_flCtrlIl18_2	0.195453702	FetalLiver+IL18	0
A_flCtrlIl18_3	0.264882923	FetalLiver+IL18	0
A_flCtrlIl18bp_2	0.193238415	FetalLiver+IL18	0
A_otCtrl1	0.080365609	transplanted	0
A_otCtrl2	0.117238118	transplanted	0
A_tApc18_1	0.077837533	transplanted	1
A_tApc18_2	0.071307132	transplanted	1
A_tApc18_3	0.304704567	transplanted	1
A_tApc3	0.722631165	transplanted	1
A_tApc8_2	0.506357644	transplanted	1
A_tApc8_4	0.88189474	transplanted	1
A_tCtrl1	0.245415193	transplanted	0
A_tCtrl18_4	0.276066037	transplanted	0
A_tCtrl8_2	0.251199436	transplanted	0
A_tCtrl8_4	0.212471866	transplanted	0
A_Apc10_1	0.80547141	young	1
A_Apc10_2	0.371741173	young	1
A_Apc10_3	0.466186074	young	1
A_Ctrl10_3	0.283297012	young	0
A_Ctrl10_4	0.246939198	young	0
A_Ctrl15_1	0.047296797	young	0
