region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr1:101140001-101560000	chr1	101140001	101560000	1p	p21.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	S1PR1	3	S1PR1,LINC01307,S1PR1-DT	coding,nonCoding	protein_coding,lncRNA	N
chr1:108550001-108900000	chr1	108550001	108900000	1p	p13.3			9	EEIG2,HENMT1,FNDC7,STXBP3,AKNAD1,PRPF38B,GPSM2,CLCC1,SPATA42	coding,nonCoding	protein_coding,lncRNA	N
chr1:109220001-109470000	chr1	109220001	109470000	1p	p13.3			7	SARS1,MYBPHL,SORT1,PSMA5,SYPL2,CELSR2,PSRC1	coding,nonCoding	protein_coding	N
chr1:114340001-114930000	chr1	114340001	114930000	1p	p13.2			10	DENND2C,AMPD1,TRIM33,BCAS2,CSDE1,RNY1P13,RN7SL432P,NRAS,SYCP1,SIKE1	coding,nonCoding	protein_coding,misc_RNA	N
chr1:116450001-116570000	chr1	116450001	116570000	1p	p13.1			3	CD58,MIR548AC,LINC01762	coding,nonCoding	protein_coding,miRNA,lncRNA	N
chr1:117610001-117640000	chr1	117610001	117640000	1p	p12		FAM46C	1	TENT5C	coding	protein_coding	N
chr1:156740001-157190000	chr1	156740001	157190000	1q	q23.1		ETV3	13	HDGF,PRCC,MRPL24,INSRR,PEAR1,SH2D2A,NTRK1,ARHGEF11,MIR765,RN7SL612P,ETV3L,ETV3,LRRC71	coding,nonCoding	protein_coding,miRNA,misc_RNA	N
chr1:160730001-160770000	chr1	160730001	160770000	1q	q23.3		SLAMF7	1	SLAMF7	coding,nonCoding	protein_coding	N
chr1:166810001-167340000	chr1	166810001	167340000	1q	q24.1		POU2F1	9	POGK,TADA1,MAEL,GPA33,STYXL2,ILDR2,POU2F1,POU2F1-DT,LINC01363	coding,nonCoding	protein_coding,lncRNA	N
chr1:169730001-169910000	chr1	169730001	169910000	1q	q24.2		SELE	5	SELE,METTL18,C1orf112,SCYL3,RN7SL333P	coding,nonCoding	protein_coding,misc_RNA	N
chr1:172450001-172550000	chr1	172450001	172550000	1q	q24.3			2	C1orf105,SUCO	coding,nonCoding	protein_coding	N
chr1:182550001-182850000	chr1	182550001	182850000	1q	q25.3			9	RGS16,LINC01686,RGSL1,RNASEL,NPL,DHX9-AS1,DHX9,RGS8,LINC01688	coding,nonCoding	protein_coding,lncRNA	N
chr1:192770001-193630000	chr1	192770001	193630000	1q	q31.2	FRA1K	RGS2	10	UCHL5,SCARNA18B,RGS2,RN7SKP126,CDC73,MIR1278,RO60,GLRX2,LINC01031,B3GALT2	coding,nonCoding	protein_coding,snoRNA,misc_RNA,miRNA,lncRNA	N
chr1:197100001-197150000	chr1	197100001	197150000	1q	q31.3	FRA1K		1	ASPM	nonCoding,coding	protein_coding	N
chr1:197670001-197830000	chr1	197670001	197830000	1q	q31.3	FRA1K	DENND1B	1	DENND1B	coding,nonCoding	protein_coding	N
chr1:197860001-198020000	chr1	197860001	198020000	1q	q31.3	FRA1K	LHX9	2	C1orf53,LHX9	coding,nonCoding	protein_coding	N
chr1:200350001-200790000	chr1	200350001	200790000	1q	q32.1			6	LINC00862,ZNF281,KIF14,DDX59-AS1,CAMSAP2,DDX59	nonCoding,coding	lncRNA,protein_coding	N
chr1:202740001-203100000	chr1	202740001	203100000	1q	q32.1			10	KDM5B,ADIPOR1,CYB5R1,TMEM183A,PPFIA4,MYOG,ADORA1,KLHL12,PCAT6,RABIF	coding,nonCoding	protein_coding,lncRNA	N
chr1:206970001-207170000	chr1	206970001	207170000	1q	q32.1		FCAMR	6	C1orf116,FCAMR,C4BPA,PFKFB2,YOD1,C4BPB	coding,nonCoding	protein_coding	N
chr1:207230001-207320000	chr1	207230001	207320000	1q	q32.2			1	LINC02942	nonCoding	lncRNA	N
chr1:212020001-212090000	chr1	212020001	212090000	1q	q32.3		INTS7, DTL	3	MIR3122,INTS7,DTL	nonCoding,coding	miRNA,protein_coding	N
chr1:214580001-214670000	chr1	214580001	214670000	1q	q41			1	CENPF	nonCoding,coding	protein_coding	N
chr1:221560001-221940000	chr1	221560001	221940000	1q	q41		DUSP10	4	LINC02257,DUSP10,LINC01655,RNU6-403P	nonCoding,coding	lncRNA,protein_coding,snRNA	N
