region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr1:100040001-100180000	chr1	100040001	100180000	1p	p21.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		4	SASS6,TRMT13,LRRC39,MFSD14A	coding,nonCoding	protein_coding	N
chr1:100970001-101630000	chr1	100970001	101630000	1p	p21.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	S1PR1	6	SLC30A7,DPH5-DT,S1PR1-DT,S1PR1,DPH5,LINC01307	coding,nonCoding	protein_coding,lncRNA	N
chr1:107710001-107940000	chr1	107710001	107940000	1p	p13.3			2	VAV3,MIR7852	coding,nonCoding	protein_coding,miRNA	N
chr1:108570001-108720000	chr1	108570001	108720000	1p	p13.3			4	EEIG2,FNDC7,PRPF38B,HENMT1	coding,nonCoding	protein_coding	N
chr1:109420001-109470000	chr1	109420001	109470000	1p	p13.3			2	SYPL2,PSMA5	coding	protein_coding	N
chr1:110660001-111140000	chr1	110660001	111140000	1p	p13.3		KCNA3	5	KCNA3,DRAM2,CEPT1,CD53,LRIF1	coding	protein_coding	N
chr1:113640001-113900000	chr1	113640001	113900000	1p	p13.2		MAGI3	7	RSBN1,PTPN22,MAGI3,PHTF1,AP4B1,AP4B1-AS1,BCL2L15	coding,nonCoding	protein_coding,lncRNA	N
chr1:114380001-114720000	chr1	114380001	114720000	1p	p13.2			7	TRIM33,BCAS2,RN7SL432P,NRAS,DENND2C,AMPD1,CSDE1	coding,nonCoding	protein_coding,misc_RNA	N
chr1:14710001-15060000	chr1	14710001	15060000	1p	p36.21	FRA1A		1	KAZN	coding,nonCoding	protein_coding	Y
chr1:167010001-167390000	chr1	167010001	167390000	1q	q24.1		POU2F1	6	GPA33,STYXL2,POU2F1-DT,POU2F1,MAEL,LINC01363	coding,nonCoding	protein_coding,lncRNA	N
chr1:17570001-18330000	chr1	17570001	18330000	1p	p36.13	FRA1A		6	LINC02810,ACTL8,ARHGEF10L,IGSF21-AS1,IGSF21,LINC01654	nonCoding,coding	lncRNA,protein_coding	N
chr1:192950001-193410000	chr1	192950001	193410000	1q	q31.2	FRA1K		8	SCARNA18B,UCHL5,MIR1278,RO60,CDC73,GLRX2,LINC01031,B3GALT2	nonCoding,coding	snoRNA,protein_coding,miRNA,lncRNA	N
chr1:198830001-199160000	chr1	198830001	199160000	1q	q32.1			6	MIR181A1HG,MIR181B1,LINC01221,LINC02789,LINC01222,MIR181A1	nonCoding	lncRNA,miRNA	N
chr1:207210001-207460000	chr1	207210001	207460000	1q	q32.2		CD55	3	CR2,LINC02942,CD55	coding,nonCoding	protein_coding,lncRNA	N
chr1:239880001-240590000	chr1	239880001	240590000	1q	q43			4	CHRM3,GREM2,CHRM3-AS1,FMN2	coding,nonCoding	protein_coding,lncRNA	Y,N
chr1:240650001-241320000	chr1	240650001	241320000	1q	q43			3	RGS7,RNU5F-8P,MIR3123	coding,nonCoding	protein_coding,snRNA,miRNA	Y,N
chr1:2800001-3340000	chr1	2800001	3340000	1p	p36.32	FRA1A		5	ACTRT2,PRDM16-DT,TTC34,PRDM16,MIR4251	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr1:36730001-36900000	chr1	36730001	36900000	1p	p34.3			1	GRIK3	coding	protein_coding	N
chr1:4120001-4180000	chr1	4120001	4180000	1p	p36.32	FRA1A		1				
chr1:4240001-4780000	chr1	4240001	4780000	1p	p36.32	FRA1A		3	LINC01646,LINC01777,AJAP1	nonCoding,coding	lncRNA,protein_coding	N
chr1:51670001-51930000	chr1	51670001	51930000	1p	p32.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	OSBPL9	4	OSBPL9,MIR761,RAB3B,NRDC	coding,nonCoding	protein_coding,miRNA	N
chr1:67990001-68350000	chr1	67990001	68350000	1p	p31.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		4	GNG12-AS1,WLS,MIR1262,DIRAS3	nonCoding,coding	lncRNA,protein_coding,miRNA	N
chr1:77240001-78130000	chr1	77240001	78130000	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		12	AK5,RNU7-8P,ZZZ3,RN7SL370P,USP33,MIGA1,NEXN-AS1,NEXN,FUBP1,DNAJB4,GIPC2,RNU6-1102P	coding,nonCoding	protein_coding,snRNA,misc_RNA,lncRNA	N
chr1:84060001-84260000	chr1	84060001	84260000	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		2	PRKACB-DT,PRKACB	nonCoding,coding	lncRNA,protein_coding	N
chr1:84550001-84810000	chr1	84550001	84810000	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		4	SPATA1,CTBS,LINC01555,SSX2IP	coding,nonCoding	protein_coding,lncRNA	N
chr1:88620001-88790000	chr1	88620001	88790000	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		2	PKN2-AS1,PKN2	nonCoding,coding	lncRNA,protein_coding	Y,N
chr1:89220001-89460000	chr1	89220001	89460000	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	GBP6	3	GBP5,GBP6,GBP1P1	coding,nonCoding	protein_coding,lncRNA	N
chr1:89680001-89910000	chr1	89680001	89910000	1p	p22.2	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	LRRC8C	3	LRRC8C,LRRC8D-DT,LRRC8D	coding,nonCoding	protein_coding,lncRNA	N
chr1:92870001-93400000	chr1	92870001	93400000	1p	p22.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M	FAM69A, RPL5	10	DIPK1A,RN7SL692P,RNU6-210P,RN7SKP123,MTF2,TMED5,CCDC18,CCDC18-AS1,DR1,RNU6-970P	coding,nonCoding	protein_coding,misc_RNA,snRNA,lncRNA	N
chr1:96700001-96780000	chr1	96700001	96780000	1p	p21.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PTBP2	coding,nonCoding	protein_coding	N
chr1:97820001-98050000	chr1	97820001	98050000	1p	p21.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		4	MIR137HG,MIR2682,MIR137,DPYD	nonCoding,coding	lncRNA,miRNA,protein_coding	N,Y
chr10:104090001-104250000	chr10	104090001	104250000	10q	q25.1			4	MIR609,GSTO1,SFR1,CFAP43	nonCoding,coding	miRNA,protein_coding	N
chr10:113810001-113970000	chr10	113810001	113970000	10q	q25.3			2	DCLRE1A,NHLRC2	coding,nonCoding	protein_coding	N
chr10:114780001-114970000	chr10	114780001	114970000	10q	q25.3			3	TRUB1,RNU6-1121P,FHIP2A	coding,nonCoding	protein_coding,snRNA	N
chr10:130550001-130790000	chr10	130550001	130790000	10q	q26.3			1				
chr10:16850001-17310000	chr10	16850001	17310000	10p	p13			4	TRDMT1,VIM-AS1,VIM,CUBN	coding,nonCoding	protein_coding,lncRNA	N
chr10:22170001-22240000	chr10	22170001	22240000	10p	p12.31			1	EBLN1	coding	protein_coding	N
chr10:22510001-22610000	chr10	22510001	22610000	10p	p12.2		PIP4K2A	1	PIP4K2A	coding	protein_coding	N
chr10:2310001-3230000	chr10	2310001	3230000	10p	p15.3		PFKP	6	LINC00701,LINC02645,PFKP,PITRM1,PITRM1-AS1,PFKP-DT	nonCoding,coding	lncRNA,protein_coding	N
chr10:27480001-27510000	chr10	27480001	27510000	10p	p12.1			1	RAB18	coding,nonCoding	protein_coding	N
chr10:3830001-4780000	chr10	3830001	4780000	10p	p15.1			8	LINC02660,MIR6078,LINC00702,RNU6-163P,MANCR,LINC00705,LINC00703,LINC02639	nonCoding	lncRNA,miRNA,snRNA	N
chr10:62090001-62330000	chr10	62090001	62330000	10q	q21.2	FRA10C, FRA10D, FRA10G	ARID5B	3	ARID5B,RTKN2,LINC02621	coding,nonCoding	protein_coding,lncRNA	N
chr10:87550001-88350000	chr10	87550001	88350000	10q	q23.2	FRA10A	ATAD1	8	KLLN,PTEN,RNLS,CFL1P1,MINPP1,PAPSS2,ATAD1,RN7SL78P	coding,nonCoding	protein_coding,lncRNA,misc_RNA	N
chr10:88840001-89300000	chr10	88840001	89300000	10q	q23.31	FRA10A		10	ANKRD22,STAMBPL1,ACTA2-AS1,ACTA2,FAS,MIR4679-2,MIR4679-1,CH25H,LIPA,IFIT2	coding,nonCoding	protein_coding,lncRNA,miRNA	N
chr10:89560001-89780000	chr10	89560001	89780000	10q	q23.31	FRA10A		4	MIR107,PANK1-AS1,KIF20B,PANK1	nonCoding,coding	miRNA,lncRNA,protein_coding	N
chr11:103070001-103160000	chr11	103070001	103160000	11q	q22.3			2	DYNC2H1,DCUN1D5	coding,nonCoding	protein_coding	N
chr11:116880001-116960000	chr11	116880001	116960000	11q	q23.3	FRA11G, FRA11B		1	SIK3	coding,nonCoding	protein_coding	N
chr11:11890001-11970000	chr11	11890001	11970000	11p	p15.3			2	USP47,DKK3	coding,nonCoding	protein_coding	N
chr11:128170001-128390000	chr11	128170001	128390000	11q	q24.3			2	LINC02725,LINC02098	nonCoding	lncRNA	N
chr11:132900001-133120000	chr11	132900001	133120000	11q	q25			1	OPCML	coding	protein_coding	Y
chr11:21130001-21220000	chr11	21130001	21220000	11p	p15.1	FRA11C, FRA11I		1	NELL1	coding,nonCoding	protein_coding	Y
chr11:34080001-34150000	chr11	34080001	34150000	11p	p13	FRA11E	CAPRIN1	2	NAT10,CAPRIN1	coding	protein_coding	N
chr11:70500001-70700000	chr11	70500001	70700000	11q	q13.4	FRA11H, FRA11A		3	SHANK2,SHANK2-AS1,SHANK2-AS2	coding,nonCoding	protein_coding,lncRNA	Y,N
chr11:85610001-86010000	chr11	85610001	86010000	11q	q14.1	FRA11F	PICALM	8	TMEM126B,TMEM126A,CREBZF,SYTL2,CCDC83,PICALM,CCDC89,DLG2	coding,nonCoding	protein_coding	N,Y
chr12:103910001-104140000	chr12	103910001	104140000	12q	q23.3			7	TDG,GLT8D2,HCFC2,NFYB,UQCC6,HSP90B1,MIR3652	coding,nonCoding	protein_coding,miRNA	N
chr12:104740001-105000000	chr12	104740001	105000000	12q	q23.3			3	SLC41A2,CHST11,NOPCHAP1	coding	protein_coding	N
chr12:31690001-32210000	chr12	31690001	32210000	12p	p11.21			7	RESF1,RNU6-1069P,LINC02422,BICD1,AMN1,H3-5,BICD1-AS1	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr12:43700001-43860000	chr12	43700001	43860000	12q	q12			4	PUS7L,IRAK4,TWF1,TMEM117	coding,nonCoding	protein_coding	N,Y
chr12:45830001-46090000	chr12	45830001	46090000	12q	q12	FRA12A		3	ARID2,RN7SL246P,SCAF11	coding,nonCoding	protein_coding,misc_RNA	N
chr12:59480001-59730000	chr12	59480001	59730000	12q	q14.1			3	SLC16A7,RNU4-20P,LINC02448	coding,nonCoding	protein_coding,snRNA,lncRNA	N
chr12:62380001-62600000	chr12	62380001	62600000	12q	q14.1			3	USP15,MON2,RNU6-399P	coding,nonCoding	protein_coding,snRNA	N
chr12:64410001-64490000	chr12	64410001	64490000	12q	q14.2			2	TBK1,XPOT	nonCoding,coding	protein_coding	N
chr12:71670001-71970000	chr12	71670001	71970000	12q	q21.1			5	THAP2,TMEM19,TBC1D15,TPH2,RAB21	coding,nonCoding	protein_coding	N
chr12:75270001-76260000	chr12	75270001	76260000	12q	q21.1			14	GLIPR1L2,GLIPR1L1,PHLDA1,GLIPR1,PHLDA1-DT,NAP1L1,RNU6-1271P,PHLDA1-AS1,CAPS2-AS1,CAPS2,KRR1,RN7SL734P,GLIPR1-AS1,LNCOG	coding,nonCoding	protein_coding,lncRNA,snRNA,misc_RNA	N
chr12:91850001-91980000	chr12	91850001	91980000	12q	q21.33	FRA12B		1	LINC02404	nonCoding	lncRNA	N
chr12:92400001-92650000	chr12	92400001	92650000	12q	q22			3	LINC02397,CLLU1,CLLU1-AS1	nonCoding	lncRNA	N
chr12:9770001-9940000	chr12	9770001	9940000	12p	p13.31			5	KLRF1,CLEC2A,LINC02470,CLEC2B,KLRF2	coding,nonCoding	protein_coding,lncRNA	N
chr13:102610001-102920000	chr13	102610001	102920000	13q	q33.1			9	BIVM-ERCC5,BIVM,ERCC5,METTL21EP,TEX30,TPP2,METTL21C,CCDC168,POGLUT2	coding,nonCoding	protein_coding	N
