region	chr	start	end	arm	cyto	overlappedGeneNumDensity	genename
chr1:14490001-14500000	chr1	14490001	14500000	1p	qA3	1	
chr1:24820001-24830000	chr1	24820001	24830000	1p	qA5	1	
chr1:26020001-26030000	chr1	26020001	26030000	1p	qA5	1	
chr1:40490001-40500000	chr1	40490001	40500000	1p	qB	2	Il18r1
chr1:57620001-57630000	chr1	57620001	57630000	1p	qC1.3	1	
chr1:59530001-59540000	chr1	59530001	59540000	1p	qC2	3	Gm973,1700122D07Rik,Gm28411
chr1:60390001-60400000	chr1	60390001	60400000	1p	qC2	1	
chr1:61060001-61070000	chr1	61060001	61070000	1p	qC2	1	
chr1:62470001-62480000	chr1	62470001	62480000	1p	qC2	2	Pard3b,Pard3bos3
chr1:67150001-67160000	chr1	67150001	67160000	1p	qC3	1	Cps1
chr1:67490001-67500000	chr1	67490001	67500000	1p	qC3	1	
chr1:73590001-73600000	chr1	73590001	73600000	1p	qC3	1	
chr1:76030001-76040000	chr1	76030001	76040000	1p	qC4	1	
chr1:79180001-79190000	chr1	79180001	79190000	1p	qC4	1	Gm29536
chr1:84220001-84230000	chr1	84220001	84230000	1p	qC5	1	Pid1
chr1:94860001-94870000	chr1	94860001	94870000	1p	qD	1	
chr1:113420001-113430000	chr1	113420001	113430000	1p	qE2.2	1	
chr1:115530001-115540000	chr1	115530001	115540000	1p	qE2.3	1	
chr1:116750001-116760000	chr1	116750001	116760000	1p	qE2.3	1	
chr1:128400001-128410000	chr1	128400001	128410000	1q	qE3	1	Dars
chr1:130070001-130080000	chr1	130070001	130080000	1q	qE4	1	Thsd7b
chr1:134280001-134290000	chr1	134280001	134290000	1q	qE4	2	Gm25524,Myog
chr1:140520001-140530000	chr1	140520001	140530000	1q	qF	1	Kcnt2
chr1:142230001-142240000	chr1	142230001	142240000	1q	qF	1	
chr1:146650001-146660000	chr1	146650001	146660000	1q	qF	1	Brinp3
chr1:146940001-146950000	chr1	146940001	146950000	1q	qF	1	
chr1:148010001-148020000	chr1	148010001	148020000	1q	qG1	1	
chr1:148110001-148120000	chr1	148110001	148120000	1q	qG1	1	
chr1:149540001-149550000	chr1	149540001	149550000	1q	qG1	1	
chr1:150510001-150520000	chr1	150510001	150520000	1q	qG1	1	
chr1:151370001-151380000	chr1	151370001	151380000	1q	qG1	1	Swt1
chr1:153460001-153470000	chr1	153460001	153470000	1q	qG3	1	Dhx9
chr1:157950001-157960000	chr1	157950001	157960000	1q	qH1	1	Gm38256
chr1:159040001-159050000	chr1	159040001	159050000	1q	qH1	1	
chr1:165490001-165500000	chr1	165490001	165500000	1q	qH2.2	4	Gm38325,Adcy10,NA,Gm18186
chr1:167360001-167370000	chr1	167360001	167370000	1q	qH2.3	1	Aldh9a1
chr1:169560001-169570000	chr1	169560001	169570000	1q	qH2.3	1	
