region	chr	start	end	arm	cyto	CFS	ERFS	overlappedGeneNumDensity	genename	transcriptClass	geneType	largeGene
chr1:84140809-84149103	chr1	84140809	84149103	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84162312-84170361	chr1	84162312	84170361	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84501789-84504008	chr1	84501789	84504008	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GNG5	coding	protein_coding	N
chr1:84173375-84175148	chr1	84173375	84175148	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84691262-84695501	chr1	84691262	84695501	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84480050-84481804	chr1	84480050	84481804	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84499414-84501351	chr1	84499414	84501351	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	GNG5	coding	protein_coding	N
chr1:84433177-84436740	chr1	84433177	84436740	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84153572-84154413	chr1	84153572	84154413	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84211498-84212446	chr1	84211498	84212446	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84075445-84076468	chr1	84075445	84076468	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB-DT	nonCoding	lncRNA	N
chr1:84488606-84489716	chr1	84488606	84489716	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	RPF1	coding	protein_coding	N
chr1:84176671-84177996	chr1	84176671	84177996	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84089070-84090760	chr1	84089070	84090760	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84440059-84442205	chr1	84440059	84442205	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1				
chr1:84941385-84944395	chr1	84941385	84944395	1p	p22.3	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	MCOLN2	coding,nonCoding	protein_coding	N
chr1:84091787-84096071	chr1	84091787	84096071	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
chr1:84156623-84161645	chr1	84156623	84161645	1p	p31.1	FRA1B, FRA1D, FRA1L, FRA1C, FRA1E, FRA1M		1	PRKACB	coding	protein_coding	N
